osm_id,name,category,subcategory,latitude,longitude,source,collection_date
node/12719325196,Brijwasi restaurant and dhaba,amenity,restaurant,27.5706885,77.6713,OpenStreetMap,2026-09-10
node/12719325197,Banke Bihari emporium,shop,craft,27.5707067,77.6716476,OpenStreetMap,2026-09-10
node/12719337806,CRVS food court,amenity,restaurant,27.5705729,77.6717207,OpenStreetMap,2026-09-10
node/12719337808,Radha Rani bhojnalaya,amenity,restaurant,27.5707046,77.6720604,OpenStreetMap,2026-09-10
node/12719337809,Banke bhojnalaya,amenity,restaurant,27.5707306,77.6722147,OpenStreetMap,2026-09-10
node/12719337811,Shri banke Bihari family dhaba,amenity,restaurant,27.5713069,77.6738911,OpenStreetMap,2026-09-10
node/12719337812,Bansi Wala,amenity,restaurant,27.5713283,77.6739504,OpenStreetMap,2026-09-10
node/12719337813,Radha Rani,amenity,restaurant,27.5713592,77.674033,OpenStreetMap,2026-09-10
node/12719337814,Dakshin Mukhi Hanuman Mandir,amenity,place_of_worship,27.5713996,77.6744995,OpenStreetMap,2026-09-10
node/12719337817,Unnamed,amenity,police,27.571634,77.6759541,OpenStreetMap,2026-09-10
node/12719337821,Law college,amenity,college,27.5718603,77.6798054,OpenStreetMap,2026-09-10
node/13086877198,Shivji Temple,amenity,place_of_worship,27.567352,77.6723142,OpenStreetMap,2026-09-10
node/13086886805,Devfresco Supermarket India,shop,wholesale,27.567893,77.6735362,OpenStreetMap,2026-09-10
node/13140732864,Unnamed,amenity,fuel,27.4829943,77.4149347,OpenStreetMap,2026-09-10
node/13273674966,Temple,amenity,place_of_worship,27.4404942,77.6863591,OpenStreetMap,2026-09-10
node/13276223242,Unnamed,amenity,place_of_worship,27.4369819,77.6833696,OpenStreetMap,2026-09-10
node/13334394701,Vrindavan Ras Mahima,amenity,place_of_worship,27.5803998,77.6723538,OpenStreetMap,2026-09-10
node/13626243701,City hospital,amenity,hospital,27.5230519,77.6564717,OpenStreetMap,2026-09-10
node/13961344523,Bharat Petroleum,amenity,fuel,27.4988198,77.6693195,OpenStreetMap,2026-09-10
node/13987804286,Hanuman Temple,amenity,place_of_worship,27.4374526,77.691351,OpenStreetMap,2026-09-10
node/14051831021,chai tapri,shop,tea,27.5009274,77.6582627,OpenStreetMap,2026-09-10
node/14059041796,Unnamed,amenity,fast_food,27.4833101,77.6734278,OpenStreetMap,2026-09-10
node/14059047002,Unnamed,shop,water,27.4831372,77.6733905,OpenStreetMap,2026-09-10
node/14059047015,Unnamed,amenity,fast_food,27.4828773,77.6733331,OpenStreetMap,2026-09-10
node/14064475070,Unnamed,amenity,place_of_worship,27.4979825,77.671519,OpenStreetMap,2026-09-10
